14:01:44.210 452 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:44.210 452 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
14:01:44.210 452 zb_mac_transport_linux_pipes.c:507	timer started = 1
14:01:44.210 452 zb_mac_transport_linux_pipes.c:524	default timeout 1
14:01:44.211 452 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
14:01:45.212 452 zb_mac_transport_linux_pipes.c:548	delta 1001 (65)
14:01:45.212 517 zb_mac_transport_linux_pipes.c:569	timer 517, delta_rest 0
14:01:45.212 517 zb_mac_transport_linux_pipes.c:590	timeout
14:01:45.212 517 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
14:01:45.212 517 zb_scheduler.c:145	0x56095bc29888 calling alarm cb 0x56095ba196ed param 0
14:01:45.212 517 mac_scan.c:208	>> zb_mlme_scan_step
14:01:45.212 517 mac_scan.c:312	beacon found 0
14:01:45.212 517 zb_scheduler.c:254	0x56095bc295b0 scheduled cb 0x56095b9fa3bf param 3 (in_b 0)
14:01:45.212 517 mac_scan.c:338	<< zb_mlme_scan_step
14:01:45.212 517 zb_scheduler.c:105	cb_q written 1, read_i 7, write_i 8
14:01:45.212 517 zb_scheduler.c:115	0x56095bc295b0 calling cb 0x56095b9fa3bf param 3 in_b 0 len 0
14:01:45.212 517 nwk_discovery.c:354	>>zb_mlme_scan_confirm 3
14:01:45.212 517 nwk_discovery.c:356	nwk state 3
14:01:45.212 517 nwk_cr_formation.c:204	>>sel_ch buf 0x56095bc29cd0
14:01:45.212 517 nwk_cr_formation.c:235	cur ch 11 ch_nw 255 en_lev 255
14:01:45.212 517 nwk_cr_formation.c:237	i pan_cnt 11 en_lev 0
14:01:45.212 517 nwk_cr_formation.c:266	sel ch 11 # nw 0 en_lev 0
14:01:45.212 517 nwk_cr_formation.c:296	sel pan_id 6969
14:01:45.212 517 nwk_address_assign.c:71	>>zb_nwk_daa_calc_cskip depth 0
14:01:45.212 517 nwk_address_assign.c:92	<<zb_nwk_daa_calc_cskip 2721
14:01:45.212 517 nwk_cr_formation.c:382	ch 11
14:01:45.212 517 zb_scheduler.c:254	0x56095bc295c0 scheduled cb 0x56095b9f3024 param 3 (in_b 0)
14:01:45.212 517 nwk_cr_formation.c:311	<<sel_ch
14:01:45.212 517 nwk_discovery.c:495	<<zb_mlme_scan_confirm
14:01:45.212 517 zb_scheduler.c:105	cb_q written 1, read_i 8, write_i 9
14:01:45.212 517 zb_scheduler.c:115	0x56095bc295c0 calling cb 0x56095b9f3024 param 3 in_b 0 len 0
14:01:45.212 517 mac_routines.c:166	+zb_mlme_start_request 3
14:01:45.212 517 mac_routines.c:114	+zb_mac_process_mlme_start, state 0
14:01:45.212 517 mac_cr_coordinator.c:427	>>zb_mac_update_superframe_and_pib
14:01:45.212 517 mac_cr_coordinator.c:444	set pan id 0x1b39 channel 0xb
14:01:45.212 517 mac_cr_coordinator.c:449	<<zb_mac_update_superframe_and_pib
14:01:45.212 517 zb_scheduler.c:254	0x56095bc295d0 scheduled cb 0x56095b9faa74 param 3 (in_b 0)
14:01:45.212 517 mac_routines.c:155	<< zb_mac_process_mlme_start
14:01:45.212 517 mac_routines.c:198	<< zb_mlme_start_request
14:01:45.212 517 zb_scheduler.c:105	cb_q written 1, read_i 9, write_i 10
14:01:45.212 517 zb_scheduler.c:115	0x56095bc295d0 calling cb 0x56095b9faa74 param 3 in_b 0 len 0
14:01:45.212 517 nwk_formation.c:69	>>mlme_start_conf 3
14:01:45.212 517 nwk_formation.c:71	state 4
14:01:45.212 517 nwk_neighbor.c:167	>>exneighbor_stop
14:01:45.212 517 nwk_neighbor.c:298	restore base n size 32
14:01:45.212 517 nwk_neighbor.c:299	base_neighbor_used 0
14:01:45.213 517 nwk_neighbor.c:301	<<exneighbor_stop
14:01:45.213 517 nwk_cr_formation.c:410	>>update_beacon_pl
14:01:45.213 517 nwk_cr_formation.c:436	new update_id 0
14:01:45.213 517 nwk_cr_formation.c:440	<<update_beacon_pl
14:01:45.213 517 zb_scheduler.c:254	0x56095bc295e0 scheduled cb 0x56095ba0d4a8 param 3 (in_b 0)
14:01:45.213 517 nwk_formation.c:126	<<mlme_start_conf
14:01:45.213 517 zb_scheduler.c:105	cb_q written 1, read_i 10, write_i 11
14:01:45.213 517 zb_scheduler.c:115	0x56095bc295e0 calling cb 0x56095ba0d4a8 param 3 in_b 0 len 0
14:01:45.213 517 zdo_app.c:251	formation conf st 0
14:01:45.213 517 zdo_secur.c:176	TC init
14:01:45.213 517 zb_scheduler.c:254	0x56095bc295f0 scheduled cb 0x56095ba1a392 param 3 (in_b 0)
14:01:45.213 517 zb_scheduler.c:105	cb_q written 1, read_i 11, write_i 12
14:01:45.213 517 zb_scheduler.c:115	0x56095bc295f0 calling cb 0x56095ba1a392 param 3 in_b 0 len 0
14:01:45.213 517 nwk_cr_permit_join.c:82	>>zb_nlme_permit_joining_request 3
14:01:45.213 517 nwk_cr_permit_join.c:85	permit join 0 device type 2
