14:01:45.528 0 nwk_neighbor.c:462	<<alloc_new_extnb 0
14:01:45.528 0 nwk_neighbor.c:390	<<exnb_by_short 0
14:01:45.528 0 nwk_discovery.c:258	ch 11
14:01:45.528 0 nwk_discovery.c:343	zb_free_buf: zb_mlme_beacon_notify_indication
14:01:45.528 0 zb_bufpool.c:234	=================
14:01:45.528 0 zb_bufpool.c:235	FREE BUF 0x5587c8fdbd50 
14:01:45.528 0 zb_bufpool.c:236	ref 4
14:01:45.528 0 zb_bufpool.c:237	allocated 0: 3
14:01:45.528 0 zb_bufpool.c:238	allocated 1: 1
14:01:45.528 0 zb_bufpool.c:239	=================
14:01:45.528 0 zb_bufpool.c:268	free_buf: 1/3 buf 0x5587c8fdbd50, next 0x5587c8fdbdf0, head 0x5587c8fdbd50
14:01:45.528 0 nwk_discovery.c:348	<<zb_mlme_beacon_notify_indication
14:01:45.529 0 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
14:01:45.529 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:45.529 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
14:01:45.529 0 zb_mac_transport_linux_pipes.c:507	timer started = 1
14:01:45.529 0 zb_mac_transport_linux_pipes.c:513	timer stop 257 timer 0  tmo 257
14:01:45.529 0 zb_mac_transport_linux_pipes.c:529	select() timeout 3.932000
14:01:49.464 0 zb_mac_transport_linux_pipes.c:548	delta 3937 (257)
14:01:49.464 257 zb_mac_transport_linux_pipes.c:569	timer 257, delta_rest 0
14:01:49.464 257 zb_mac_transport_linux_pipes.c:590	timeout
14:01:49.464 257 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
14:01:49.464 257 zb_scheduler.c:145	0x5587c8fdb868 calling alarm cb 0x5587c8dce25c param 0
14:01:49.464 257 mac_scan.c:208	>> zb_mlme_scan_step
14:01:49.464 257 mac_scan.c:257	set channel 12
14:01:49.464 257 mac_routines.c:225	+zb_beacon_request_command
14:01:49.464 257 mac.c:578	>>mac_fill_mhr
14:01:49.464 257 mac.c:629	<<mac_fill_mhr
14:01:49.464 257 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x5587c8fdbad0
14:01:49.464 257 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #3 buf 0x5587c8fdbad0 / 0 in_b 0 (size 11) is_w 1
14:01:49.464 257 zb_mac_transport_linux_pipes.c:182	t: start 1553770905; t 1553770909 464588, time 291
14:01:49.464 257 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
14:01:49.464 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:49.464 257 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
14:01:49.464 257 zb_mac_transport_linux_pipes.c:93	0B 03 08 5A FF FF FF FF 07 57 40 
14:01:49.464 257 zb_mac_transport_linux_pipes.c:446	out buffer is sent
14:01:49.464 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 11
14:01:49.464 257 zb_mac_transport_linux_pipes.c:225	<<zb_mac_put_data ret
14:01:49.464 257 mac_routines.c:272	<< zb_beacon_request_command ret 0
14:01:49.464 257 zb_scheduler.c:283	tm_freelist, get nent 0x5587c8fdb848
14:01:49.464 257 zb_scheduler.c:294	0x5587c8fdb848 scheduled alarm 0x5587c8dce25c, run_after 257, at 514, param 0
14:01:49.464 257 zb_scheduler.c:349	cur t 257, head t 514
14:01:49.464 257 mac_scan.c:338	<< zb_mlme_scan_step
14:01:49.464 257 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
14:01:49.464 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
14:01:49.464 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
14:01:49.464 257 zb_mac_transport_linux_pipes.c:507	timer started = 1
14:01:49.464 257 zb_mac_transport_linux_pipes.c:524	default timeout 1
14:01:49.464 257 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
14:01:49.467 257 zb_mac_transport_linux_pipes.c:548	delta 2 (0)
14:01:49.467 257 zb_mac_transport_linux_pipes.c:569	timer 257, delta_rest 2
14:01:49.467 257 zb_mac_transport_linux_pipes.c:265	>>read_from_pipe
14:01:49.467 257 zb_mac_transport_linux_pipes.c:269	no buffer available, call mac to get incoming buffer
14:01:49.467 257 zb_mac_transport_linux_pipes.c:273	<<read_from_pipe 1
14:01:49.467 257 zb_mac_transport_linux_pipes.c:600	Schedule mac main loop 2
14:01:49.467 257 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 1
14:01:49.467 257 mac.c:325	zb_get_in_buf: zb_mac_main_loop
14:01:49.467 257 zb_bufpool.c:141	=================
14:01:49.467 257 zb_bufpool.c:142	GET BUF 0x5587c8fdbd50
14:01:49.467 257 zb_bufpool.c:143	ref 4
14:01:49.467 257 zb_bufpool.c:144	allocated 0: 3
14:01:49.467 257 zb_bufpool.c:145	allocated 1: 2
14:01:49.467 257 zb_bufpool.c:146	=================
14:01:49.467 257 mac.c:182	>>zb_mac_recv_data
14:01:49.467 257 zb_mac_transport_linux_pipes.c:235	>>zb_mac_start_recv buf 0x5587c8fdbd50
